year,month,state,no_of_fires,date
2015,Jun,Maranhao,887,1/1/2015
2016,Jun,Maranhao,709,1/1/2016
2017,Jun,Maranhao,885,1/1/2017
1998,Jul,Maranhao,274,1/1/1998
1999,Jul,Maranhao,258,1/1/1999
2000,Jul,Maranhao,233,1/1/2000
2001,Jul,Maranhao,549,1/1/2001
2002,Jul,Maranhao,1.271,1/1/2002
2003,Jul,Maranhao,1.103,1/1/2003
2004,Jul,Maranhao,1.366,1/1/2004
2005,Jul,Maranhao,1.152,1/1/2005
2006,Jul,Maranhao,512,1/1/2006
2007,Jul,Maranhao,1.205,1/1/2007
2008,Jul,Maranhao,502,1/1/2008
2009,Jul,Maranhao,972,1/1/2009
2010,Jul,Maranhao,2.323,1/1/2010
2011,Jul,Maranhao,1.024,1/1/2011
2012,Jul,Maranhao,3.548,1/1/2012
2013,Jul,Maranhao,1.111,1/1/2013
2014,Jul,Maranhao,2.068,1/1/2014
2015,Jul,Maranhao,1.642,1/1/2015
2016,Jul,Maranhao,2.096,1/1/2016
2017,Jul,Maranhao,2.521,1/1/2017
1998,Aug,Maranhao,1.176,1/1/1998
1999,Aug,Maranhao,895,1/1/1999
2000,Aug,Maranhao,839,1/1/2000
2001,Aug,Maranhao,2.037,1/1/2001
2002,Aug,Maranhao,3.481,1/1/2002
2003,Aug,Maranhao,2.023,1/1/2003
2004,Aug,Maranhao,1.889,1/1/2004
2005,Aug,Maranhao,,1/1/2005
2006,Aug,Maranhao,1.382,1/1/2006
2007,Aug,Maranhao,8.409,1/1/2007
2008,Aug,Maranhao,713,1/1/2008
2009,Aug,Maranhao,1.766,1/1/2009
2010,Aug,Maranhao,6.353,1/1/2010
2011,Aug,Maranhao,2.138,1/1/2011
2012,Aug,Maranhao,10.395,1/1/2012
2013,Aug,Maranhao,2.098,1/1/2013
2014,Aug,Maranhao,5.592,1/1/2014
2015,Aug,Maranhao,5.428,1/1/2015
2016,Aug,Maranhao,,1/1/2016
2017,Aug,Maranhao,3.875,1/1/2017
1998,Sep,Maranhao,3.935,1/1/1998
1999,Sep,Maranhao,1.739,1/1/1999
2000,Sep,Maranhao,1.365,1/1/2000
2001,Sep,Maranhao,4.618,1/1/2001
2002,Sep,Maranhao,3.181,1/1/2002
2003,Sep,Maranhao,5.878,1/1/2003
2004,Sep,Maranhao,4.673,1/1/2004
2005,Sep,Maranhao,6.292,1/1/2005
2006,Sep,Maranhao,2.907,1/1/2006
2007,Sep,Maranhao,8.524,1/1/2007
2008,Sep,Maranhao,2.761,1/1/2008
2009,Sep,Maranhao,2.404,1/1/2009
2010,Sep,Maranhao,9.795,1/1/2010
2011,Sep,Maranhao,4.632,1/1/2011
2012,Sep,Maranhao,7.626,1/1/2012
2013,Sep,Maranhao,3.88,1/1/2013
2014,Sep,Maranhao,4.373,1/1/2014
2015,Sep,Maranhao,6.423,1/1/2015
2016,Sep,Maranhao,3.166,1/1/2016
2017,Sep,Maranhao,14.825,1/1/2017
1998,Oct,Maranhao,5.137,1/1/1998
1999,Oct,Maranhao,3.208,1/1/1999
2000,Oct,Maranhao,2.654,1/1/2000
2001,Oct,Maranhao,6.661,1/1/2001
2002,Oct,Maranhao,5.182,1/1/2002
2003,Oct,Maranhao,6.085,1/1/2003
2004,Oct,Maranhao,3.604,1/1/2004
2005,Oct,Maranhao,6.472,1/1/2005
2006,Oct,Maranhao,3.024,1/1/2006
2007,Oct,Maranhao,4.772,1/1/2007
2008,Oct,Maranhao,3.498,1/1/2008
2009,Oct,Maranhao,1.861,1/1/2009
2010,Oct,Maranhao,3.228,1/1/2010
2011,Oct,Maranhao,2.404,1/1/2011
2012,Oct,Maranhao,5,1/1/2012
2013,Oct,Maranhao,2.918,1/1/2013
2014,Oct,Maranhao,5.812,1/1/2014
2015,Oct,Maranhao,6.746,1/1/2015
2016,Oct,Maranhao,5.351,1/1/2016
2017,Oct,Maranhao,6.011,1/1/2017
1998,Nov,Maranhao,2.237,1/1/1998
1999,Nov,Maranhao,1.494,1/1/1999
2000,Nov,Maranhao,2.267,1/1/2000
2001,Nov,Maranhao,3.525,1/1/2001
2002,Nov,Maranhao,5.83,1/1/2002
2003,Nov,Maranhao,4.929,1/1/2003
2004,Nov,Maranhao,6.398,1/1/2004
2005,Nov,Maranhao,4.769,1/1/2005
2006,Nov,Maranhao,2.004,1/1/2006
2007,Nov,Maranhao,2.297,1/1/2007
2008,Nov,Maranhao,2.331,1/1/2008
2009,Nov,Maranhao,5,1/1/2009
2010,Nov,Maranhao,4.005,1/1/2010
2011,Nov,Maranhao,2.261,1/1/2011
2012,Nov,Maranhao,2.01,1/1/2012
2013,Nov,Maranhao,2.529,1/1/2013
2014,Nov,Maranhao,3.869,1/1/2014
2015,Nov,Maranhao,4.35,1/1/2015
2016,Nov,Maranhao,3.982,1/1/2016
2017,Nov,Maranhao,2.3,1/1/2017
1998,Dec,Maranhao,1.399,1/1/1998
1999,Dec,Maranhao,1.001,1/1/1999
2000,Dec,Maranhao,1.461,1/1/2000
2001,Dec,Maranhao,1.296,1/1/2001
2002,Dec,Maranhao,2.165,1/1/2002
2003,Dec,Maranhao,2.424,1/1/2003
2004,Dec,Maranhao,3.255,1/1/2004
2005,Dec,Maranhao,1.66,1/1/2005
2006,Dec,Maranhao,1.052,1/1/2006
2007,Dec,Maranhao,800,1/1/2007
2008,Dec,Maranhao,1.101,1/1/2008
2009,Dec,Maranhao,1.768,1/1/2009
2010,Dec,Maranhao,1.803,1/1/2010
2011,Dec,Maranhao,1.629,1/1/2011
2012,Dec,Maranhao,1.296,1/1/2012
2013,Dec,Maranhao,2.692,1/1/2013
2014,Dec,Maranhao,2.4,1/1/2014
2015,Dec,Maranhao,3.706,1/1/2015
2016,Dec,Maranhao,1.577,1/1/2016
1998,Jan,Mato Grosso,0,1/1/1998
1999,Jan,Mato Grosso,39,1/1/1999
2000,Jan,Mato Grosso,44,1/1/2000
2001,Jan,Mato Grosso,44,1/1/2001
2002,Jan,Mato Grosso,172,1/1/2002
2003,Jan,Mato Grosso,896,1/1/2003
2004,Jan,Mato Grosso,301,1/1/2004
2005,Jan,Mato Grosso,438,1/1/2005
2006,Jan,Mato Grosso,947,1/1/2006
2007,Jan,Mato Grosso,476,1/1/2007
2008,Jan,Mato Grosso,245,1/1/2008
2009,Jan,Mato Grosso,527,1/1/2009
2010,Jan,Mato Grosso,298,1/1/2010
2011,Jan,Mato Grosso,171,1/1/2011
2012,Jan,Mato Grosso,166,1/1/2012
2013,Jan,Mato Grosso,269,1/1/2013
2014,Jan,Mato Grosso,315,1/1/2014
2015,Jan,Mato Grosso,960,1/1/2015
2016,Jan,Mato Grosso,374,1/1/2016
2017,Jan,Mato Grosso,482,1/1/2017
1998,Feb,Mato Grosso,0,1/1/1998
1999,Feb,Mato Grosso,28,1/1/1999
2000,Feb,Mato Grosso,35,1/1/2000
2001,Feb,Mato Grosso,54,1/1/2001
2002,Feb,Mato Grosso,22,1/1/2002
2003,Feb,Mato Grosso,592,1/1/2003
2004,Feb,Mato Grosso,272,1/1/2004
2005,Feb,Mato Grosso,871,1/1/2005
2006,Feb,Mato Grosso,383,1/1/2006
2007,Feb,Mato Grosso,213,1/1/2007
2008,Feb,Mato Grosso,180,1/1/2008
2009,Feb,Mato Grosso,248,1/1/2009
2010,Feb,Mato Grosso,431,1/1/2010
2011,Feb,Mato Grosso,119,1/1/2011
2012,Feb,Mato Grosso,193,1/1/2012
2013,Feb,Mato Grosso,375,1/1/2013
2014,Feb,Mato Grosso,199,1/1/2014
2015,Feb,Mato Grosso,542,1/1/2015
2016,Feb,Mato Grosso,1.05,1/1/2016
2017,Feb,Mato Grosso,337,1/1/2017
1998,Mar,Mato Grosso,0,1/1/1998
1999,Mar,Mato Grosso,18,1/1/1999
2000,Mar,Mato Grosso,60,1/1/2000
2001,Mar,Mato Grosso,24,1/1/2001
2002,Mar,Mato Grosso,103,1/1/2002
2003,Mar,Mato Grosso,554,1/1/2003
2004,Mar,Mato Grosso,743,1/1/2004
2005,Mar,Mato Grosso,362,1/1/2005
2006,Mar,Mato Grosso,448,1/1/2006
2007,Mar,Mato Grosso,476,1/1/2007
2008,Mar,Mato Grosso,180,1/1/2008
2009,Mar,Mato Grosso,325,1/1/2009
2010,Mar,Mato Grosso,605,1/1/2010
2011,Mar,Mato Grosso,252,1/1/2011
2012,Mar,Mato Grosso,423,1/1/2012
2013,Mar,Mato Grosso,563,1/1/2013
2014,Mar,Mato Grosso,655,1/1/2014
2015,Mar,Mato Grosso,705,1/1/2015
2016,Mar,Mato Grosso,1.085,1/1/2016
2017,Mar,Mato Grosso,719,1/1/2017
1998,Apr,Mato Grosso,,1/1/1998
1999,Apr,Mato Grosso,76,1/1/1999
2000,Apr,Mato Grosso,59,1/1/2000
2001,Apr,Mato Grosso,309,1/1/2001
2002,Apr,Mato Grosso,641,1/1/2002
2003,Apr,Mato Grosso,903,1/1/2003
2004,Apr,Mato Grosso,441,1/1/2004
2005,Apr,Mato Grosso,372,1/1/2005
2006,Apr,Mato Grosso,,1/1/2006
2007,Apr,Mato Grosso,79,1/1/2007
2008,Apr,Mato Grosso,274,1/1/2008
2009,Apr,Mato Grosso,169,1/1/2009
2010,Apr,Mato Grosso,769,1/1/2010
2011,Apr,Mato Grosso,345,1/1/2011
2012,Apr,Mato Grosso,521,1/1/2012
2013,Apr,Mato Grosso,338,1/1/2013
2014,Apr,Mato Grosso,859,1/1/2014
2015,Apr,Mato Grosso,947,1/1/2015
2016,Apr,Mato Grosso,1.77,1/1/2016
2017,Apr,Mato Grosso,606,1/1/2017
1998,May,Mato Grosso,0,1/1/1998
1999,May,Mato Grosso,731,1/1/1999
2000,May,Mato Grosso,1.194,1/1/2000
2001,May,Mato Grosso,1.193,1/1/2001
2002,May,Mato Grosso,2.528,1/1/2002
2003,May,Mato Grosso,942,1/1/2003
2004,May,Mato Grosso,2.413,1/1/2004
2005,May,Mato Grosso,1.641,1/1/2005
2006,May,Mato Grosso,269,1/1/2006
2007,May,Mato Grosso,359,1/1/2007
2008,May,Mato Grosso,119,1/1/2008
2009,May,Mato Grosso,516,1/1/2009
2010,May,Mato Grosso,1.313,1/1/2010
2011,May,Mato Grosso,547,1/1/2011
2012,May,Mato Grosso,812,1/1/2012
2013,May,Mato Grosso,739,1/1/2013
2014,May,Mato Grosso,933,1/1/2014
2015,May,Mato Grosso,541,1/1/2015
2016,May,Mato Grosso,1.081,1/1/2016
2017,May,Mato Grosso,845,1/1/2017
1998,Jun,Mato Grosso,2.201,1/1/1998
1999,Jun,Mato Grosso,2.201,1/1/1999
2000,Jun,Mato Grosso,4.358,1/1/2000
2001,Jun,Mato Grosso,6.665,1/1/2001
2002,Jun,Mato Grosso,7.878,1/1/2002
2003,Jun,Mato Grosso,4.313,1/1/2003
2004,Jun,Mato Grosso,9.813,1/1/2004
2005,Jun,Mato Grosso,2.294,1/1/2005
2006,Jun,Mato Grosso,856,1/1/2006
2007,Jun,Mato Grosso,1.339,1/1/2007
2008,Jun,Mato Grosso,403,1/1/2008
2009,Jun,Mato Grosso,979,1/1/2009
2010,Jun,Mato Grosso,1.025,1/1/2010
2011,Jun,Mato Grosso,974,1/1/2011
2012,Jun,Mato Grosso,1.651,1/1/2012
2013,Jun,Mato Grosso,1.213,1/1/2013
2014,Jun,Mato Grosso,1.795,1/1/2014
2015,Jun,Mato Grosso,1.402,1/1/2015
2016,Jun,Mato Grosso,1.417,1/1/2016
2017,Jun,Mato Grosso,2.041,1/1/2017
1998,Jul,Mato Grosso,3.712,1/1/1998
1999,Jul,Mato Grosso,3.926,1/1/1999
2000,Jul,Mato Grosso,1.338,1/1/2000
2001,Jul,Mato Grosso,1.555,1/1/2001
2002,Jul,Mato Grosso,5.661,1/1/2002
2003,Jul,Mato Grosso,5.435,1/1/2003
2004,Jul,Mato Grosso,11.517,1/1/2004
2005,Jul,Mato Grosso,4.172,1/1/2005
2006,Jul,Mato Grosso,1.941,1/1/2006
2007,Jul,Mato Grosso,1.79,1/1/2007
2008,Jul,Mato Grosso,1.117,1/1/2008
2009,Jul,Mato Grosso,1.613,1/1/2009
2010,Jul,Mato Grosso,3.442,1/1/2010
2011,Jul,Mato Grosso,1.061,1/1/2011
2012,Jul,Mato Grosso,2.008,1/1/2012
2013,Jul,Mato Grosso,1.63,1/1/2013
2014,Jul,Mato Grosso,2.255,1/1/2014
2015,Jul,Mato Grosso,1.533,1/1/2015
2016,Jul,Mato Grosso,3.495,1/1/2016
2017,Jul,Mato Grosso,2.79,1/1/2017
1998,Aug,Mato Grosso,15.406,1/1/1998
1999,Aug,Mato Grosso,18.566,1/1/1999
2000,Aug,Mato Grosso,6.063,1/1/2000
2001,Aug,Mato Grosso,7.762,1/1/2001
2002,Aug,Mato Grosso,14.086,1/1/2002
2003,Aug,Mato Grosso,11.132,1/1/2003
2004,Aug,Mato Grosso,13.603,1/1/2004
2005,Aug,Mato Grosso,11.57,1/1/2005
2006,Aug,Mato Grosso,6.218,1/1/2006
2007,Aug,Mato Grosso,14.453,1/1/2007
2008,Aug,Mato Grosso,2.875,1/1/2008
2009,Aug,Mato Grosso,2.25,1/1/2009
2010,Aug,Mato Grosso,14.608,1/1/2010
2011,Aug,Mato Grosso,2.628,1/1/2011
2012,Aug,Mato Grosso,6.195,1/1/2012
2013,Aug,Mato Grosso,3.568,1/1/2013
2014,Aug,Mato Grosso,7.167,1/1/2014
2015,Aug,Mato Grosso,5.112,1/1/2015
2016,Aug,Mato Grosso,6.228,1/1/2016
2017,Aug,Mato Grosso,6.229,1/1/2017
1998,Sep,Mato Grosso,10.363,1/1/1998
1999,Sep,Mato Grosso,11.729,1/1/1999
2000,Sep,Mato Grosso,6.251,1/1/2000
2001,Sep,Mato Grosso,8.49,1/1/2001
2002,Sep,Mato Grosso,11.034,1/1/2002
2003,Sep,Mato Grosso,15.79,1/1/2003
2004,Sep,Mato Grosso,24.994,1/1/2004
2005,Sep,Mato Grosso,20.551,1/1/2005
2006,Sep,Mato Grosso,12.661,1/1/2006
2007,Sep,Mato Grosso,25.963,1/1/2007
2008,Sep,Mato Grosso,7.965,1/1/2008
2009,Sep,Mato Grosso,3.129,1/1/2009
2010,Sep,Mato Grosso,18.366,1/1/2010
2011,Sep,Mato Grosso,6.332,1/1/2011
2012,Sep,Mato Grosso,10.344,1/1/2012
2013,Sep,Mato Grosso,5.576,1/1/2013
2014,Sep,Mato Grosso,7.081,1/1/2014
2015,Sep,Mato Grosso,11.068,1/1/2015
2016,Sep,Mato Grosso,8.98,1/1/2016
2017,Sep,Mato Grosso,23.945,1/1/2017
1998,Oct,Mato Grosso,2.707,1/1/1998
1999,Oct,Mato Grosso,6.109,1/1/1999
2000,Oct,Mato Grosso,6.062,1/1/2000
2001,Oct,Mato Grosso,6.543,1/1/2001
2002,Oct,Mato Grosso,9.375,1/1/2002
2003,Oct,Mato Grosso,5.341,1/1/2003
2004,Oct,Mato Grosso,9.295,1/1/2004
2005,Oct,Mato Grosso,7.765,1/1/2005
2006,Oct,Mato Grosso,2.327,1/1/2006
2007,Oct,Mato Grosso,4.89,1/1/2007
2008,Oct,Mato Grosso,6.326,1/1/2008
2009,Oct,Mato Grosso,2.579,1/1/2009
2010,Oct,Mato Grosso,4.465,1/1/2010
2011,Oct,Mato Grosso,2.01,1/1/2011
2012,Oct,Mato Grosso,2.837,1/1/2012
2013,Oct,Mato Grosso,1.986,1/1/2013
2014,Oct,Mato Grosso,5.281,1/1/2014
2015,Oct,Mato Grosso,6.49,1/1/2015
2016,Oct,Mato Grosso,2.749,1/1/2016
2017,Oct,Mato Grosso,4.8,1/1/2017
1998,Nov,Mato Grosso,182,1/1/1998
1999,Nov,Mato Grosso,842,1/1/1999
2000,Nov,Mato Grosso,502,1/1/2000
2001,Nov,Mato Grosso,373,1/1/2001
2002,Nov,Mato Grosso,2.905,1/1/2002
2003,Nov,Mato Grosso,2.097,1/1/2003
2004,Nov,Mato Grosso,2.405,1/1/2004
2005,Nov,Mato Grosso,1.368,1/1/2005
2006,Nov,Mato Grosso,1.031,1/1/2006
2007,Nov,Mato Grosso,299,1/1/2007
2008,Nov,Mato Grosso,190,1/1/2008
2009,Nov,Mato Grosso,588,1/1/2009
2010,Nov,Mato Grosso,768,1/1/2010
2011,Nov,Mato Grosso,1.103,1/1/2011
2012,Nov,Mato Grosso,375,1/1/2012
2013,Nov,Mato Grosso,1.064,1/1/2013
2014,Nov,Mato Grosso,1.018,1/1/2014
2015,Nov,Mato Grosso,1.93,1/1/2015
2016,Nov,Mato Grosso,918,1/1/2016
2017,Nov,Mato Grosso,813,1/1/2017
1998,Dec,Mato Grosso,76,1/1/1998
1999,Dec,Mato Grosso,47,1/1/1999
2000,Dec,Mato Grosso,98,1/1/2000
2001,Dec,Mato Grosso,37,1/1/2001
2002,Dec,Mato Grosso,1.157,1/1/2002
2003,Dec,Mato Grosso,1.622,1/1/2003
2004,Dec,Mato Grosso,1.217,1/1/2004
2005,Dec,Mato Grosso,246,1/1/2005
2006,Dec,Mato Grosso,23,1/1/2006
2007,Dec,Mato Grosso,81,1/1/2007
2008,Dec,Mato Grosso,159,1/1/2008
2009,Dec,Mato Grosso,171,1/1/2009
2010,Dec,Mato Grosso,846,1/1/2010
2011,Dec,Mato Grosso,431,1/1/2011
2012,Dec,Mato Grosso,492,1/1/2012
2013,Dec,Mato Grosso,447,1/1/2013
2014,Dec,Mato Grosso,466,1/1/2014
2015,Dec,Mato Grosso,1.777,1/1/2015
2016,Dec,Mato Grosso,425,1/1/2016
1998,Jan,Mato Grosso,0,1/1/1998
1999,Jan,Mato Grosso,239,1/1/1999
2000,Jan,Mato Grosso,326,1/1/2000
2001,Jan,Mato Grosso,97,1/1/2001
2002,Jan,Mato Grosso,304,1/1/2002
2003,Jan,Mato Grosso,182,1/1/2003
2004,Jan,Mato Grosso,258,1/1/2004
2005,Jan,Mato Grosso,59,1/1/2005
2006,Jan,Mato Grosso,59,1/1/2006
2007,Jan,Mato Grosso,19,1/1/2007
2008,Jan,Mato Grosso,63,1/1/2008
2009,Jan,Mato Grosso,229,1/1/2009
2010,Jan,Mato Grosso,72,1/1/2010
2011,Jan,Mato Grosso,129,1/1/2011
2012,Jan,Mato Grosso,201,1/1/2012
2013,Jan,Mato Grosso,174,1/1/2013
2014,Jan,Mato Grosso,197,1/1/2014
2015,Jan,Mato Grosso,226,1/1/2015
2016,Jan,Mato Grosso,127,1/1/2016
2017,Jan,Mato Grosso,355,1/1/2017
1998,Feb,Mato Grosso,0,1/1/1998
1999,Feb,Mato Grosso,69,1/1/1999
2000,Feb,Mato Grosso,81,1/1/2000
2001,Feb,Mato Grosso,89,1/1/2001
2002,Feb,Mato Grosso,98,1/1/2002
2003,Feb,Mato Grosso,108,1/1/2003
2004,Feb,Mato Grosso,169,1/1/2004
2005,Feb,Mato Grosso,221,1/1/2005
2006,Feb,Mato Grosso,,1/1/2006
2007,Feb,Mato Grosso,111,1/1/2007
2008,Feb,Mato Grosso,78,1/1/2008
2009,Feb,Mato Grosso,164,1/1/2009
2010,Feb,Mato Grosso,157,1/1/2010
2011,Feb,Mato Grosso,61,1/1/2011
2012,Feb,Mato Grosso,112,1/1/2012
2013,Feb,Mato Grosso,100,1/1/2013
2014,Feb,Mato Grosso,139,1/1/2014
2015,Feb,Mato Grosso,148,1/1/2015
2016,Feb,Mato Grosso,187,1/1/2016
2017,Feb,Mato Grosso,165,1/1/2017
1998,Mar,Mato Grosso,0,1/1/1998
1999,Mar,Mato Grosso,,1/1/1999
2000,Mar,Mato Grosso,23,1/1/2000
2001,Mar,Mato Grosso,39,1/1/2001
2002,Mar,Mato Grosso,115,1/1/2002
2003,Mar,Mato Grosso,137,1/1/2003
2004,Mar,Mato Grosso,225,1/1/2004
2005,Mar,Mato Grosso,158,1/1/2005
2006,Mar,Mato Grosso,137,1/1/2006
2007,Mar,Mato Grosso,137,1/1/2007
2008,Mar,Mato Grosso,97,1/1/2008
2009,Mar,Mato Grosso,118,1/1/2009
2010,Mar,Mato Grosso,149,1/1/2010
2011,Mar,Mato Grosso,37,1/1/2011
2012,Mar,Mato Grosso,169,1/1/2012
2013,Mar,Mato Grosso,158,1/1/2013
2014,Mar,Mato Grosso,95,1/1/2014
2015,Mar,Mato Grosso,190,1/1/2015
2016,Mar,Mato Grosso,143,1/1/2016
2017,Mar,Mato Grosso,170,1/1/2017
1998,Apr,Mato Grosso,0,1/1/1998
1999,Apr,Mato Grosso,97,1/1/1999
2000,Apr,Mato Grosso,90,1/1/2000
2001,Apr,Mato Grosso,108,1/1/2001
2002,Apr,Mato Grosso,230,1/1/2002
2003,Apr,Mato Grosso,126,1/1/2003
2004,Apr,Mato Grosso,97,1/1/2004
2005,Apr,Mato Grosso,126,1/1/2005
2006,Apr,Mato Grosso,51,1/1/2006
2007,Apr,Mato Grosso,46,1/1/2007
2008,Apr,Mato Grosso,72,1/1/2008
2009,Apr,Mato Grosso,291,1/1/2009
2010,Apr,Mato Grosso,136,1/1/2010
2011,Apr,Mato Grosso,23,1/1/2011
2012,Apr,Mato Grosso,97,1/1/2012
2013,Apr,Mato Grosso,78,1/1/2013
2014,Apr,Mato Grosso,129,1/1/2014
2015,Apr,Mato Grosso,65,1/1/2015
2016,Apr,Mato Grosso,161,1/1/2016
2017,Apr,Mato Grosso,59,1/1/2017
1998,May,Mato Grosso,0,1/1/1998
1999,May,Mato Grosso,206,1/1/1999
2000,May,Mato Grosso,127,1/1/2000
2001,May,Mato Grosso,112,1/1/2001
2002,May,Mato Grosso,88,1/1/2002
2003,May,Mato Grosso,74,1/1/2003
2004,May,Mato Grosso,25,1/1/2004
2005,May,Mato Grosso,328,1/1/2005
2006,May,Mato Grosso,99,1/1/2006
2007,May,Mato Grosso,62,1/1/2007
2008,May,Mato Grosso,34,1/1/2008
2009,May,Mato Grosso,927,1/1/2009
2010,May,Mato Grosso,105,1/1/2010
2011,May,Mato Grosso,81,1/1/2011
2012,May,Mato Grosso,157,1/1/2012
2013,May,Mato Grosso,72,1/1/2013
2014,May,Mato Grosso,70,1/1/2014
2015,May,Mato Grosso,58,1/1/2015
2016,May,Mato Grosso,97,1/1/2016
2017,May,Mato Grosso,72,1/1/2017
1998,Jun,Mato Grosso,82,1/1/1998
1999,Jun,Mato Grosso,127,1/1/1999
2000,Jun,Mato Grosso,157,1/1/2000
2001,Jun,Mato Grosso,249,1/1/2001
2002,Jun,Mato Grosso,517,1/1/2002
2003,Jun,Mato Grosso,170,1/1/2003
2004,Jun,Mato Grosso,394,1/1/2004
2005,Jun,Mato Grosso,439,1/1/2005
2006,Jun,Mato Grosso,89,1/1/2006
2007,Jun,Mato Grosso,141,1/1/2007
2008,Jun,Mato Grosso,24,1/1/2008
2009,Jun,Mato Grosso,376,1/1/2009
2010,Jun,Mato Grosso,149,1/1/2010
2011,Jun,Mato Grosso,104,1/1/2011
2012,Jun,Mato Grosso,96,1/1/2012
2013,Jun,Mato Grosso,35,1/1/2013
2014,Jun,Mato Grosso,84,1/1/2014
2015,Jun,Mato Grosso,299,1/1/2015
2016,Jun,Mato Grosso,120,1/1/2016
2017,Jun,Mato Grosso,175,1/1/2017
1998,Jul,Mato Grosso,360,1/1/1998
1999,Jul,Mato Grosso,1.297,1/1/1999
2000,Jul,Mato Grosso,160,1/1/2000
2001,Jul,Mato Grosso,591,1/1/2001
2002,Jul,Mato Grosso,935,1/1/2002
2003,Jul,Mato Grosso,182,1/1/2003
2004,Jul,Mato Grosso,529,1/1/2004
2005,Jul,Mato Grosso,859,1/1/2005
2006,Jul,Mato Grosso,289,1/1/2006
2007,Jul,Mato Grosso,197,1/1/2007
2008,Jul,Mato Grosso,116,1/1/2008
2009,Jul,Mato Grosso,354,1/1/2009
2010,Jul,Mato Grosso,589,1/1/2010
2011,Jul,Mato Grosso,250,1/1/2011
2012,Jul,Mato Grosso,538,1/1/2012
2013,Jul,Mato Grosso,201,1/1/2013
2014,Jul,Mato Grosso,193,1/1/2014
2015,Jul,Mato Grosso,371,1/1/2015
2016,Jul,Mato Grosso,687,1/1/2016
2017,Jul,Mato Grosso,1.05,1/1/2017
1998,Aug,Mato Grosso,228,1/1/1998
1999,Aug,Mato Grosso,4.355,1/1/1999
2000,Aug,Mato Grosso,530,1/1/2000
2001,Aug,Mato Grosso,2.484,1/1/2001
2002,Aug,Mato Grosso,3.984,1/1/2002
2003,Aug,Mato Grosso,953,1/1/2003
2004,Aug,Mato Grosso,1.408,1/1/2004
2005,Aug,Mato Grosso,4.484,1/1/2005
2006,Aug,Mato Grosso,1.129,1/1/2006
2007,Aug,Mato Grosso,1.823,1/1/2007
2008,Aug,Mato Grosso,456,1/1/2008
2009,Aug,Mato Grosso,816,1/1/2009
2010,Aug,Mato Grosso,1.721,1/1/2010
2011,Aug,Mato Grosso,552,1/1/2011
2012,Aug,Mato Grosso,2.951,1/1/2012
2013,Aug,Mato Grosso,677,1/1/2013
2014,Aug,Mato Grosso,,1/1/2014
2015,Aug,Mato Grosso,1.293,1/1/2015
2016,Aug,Mato Grosso,1.481,1/1/2016
2017,Aug,Mato Grosso,1.488,1/1/2017
1998,Sep,Mato Grosso,457,1/1/1998
1999,Sep,Mato Grosso,2.969,1/1/1999
2000,Sep,Mato Grosso,510,1/1/2000
2001,Sep,Mato Grosso,1.383,1/1/2001
2002,Sep,Mato Grosso,2.252,1/1/2002
2003,Sep,Mato Grosso,1.124,1/1/2003
2004,Sep,Mato Grosso,2.511,1/1/2004
2005,Sep,Mato Grosso,1.87,1/1/2005
2006,Sep,Mato Grosso,1.078,1/1/2006
2007,Sep,Mato Grosso,4.446,1/1/2007
2008,Sep,Mato Grosso,1.62,1/1/2008
2009,Sep,Mato Grosso,1.146,1/1/2009
2010,Sep,Mato Grosso,1.505,1/1/2010
2011,Sep,Mato Grosso,1.072,1/1/2011
2012,Sep,Mato Grosso,2.264,1/1/2012
2013,Sep,Mato Grosso,1.074,1/1/2013
2014,Sep,Mato Grosso,365,1/1/2014
2015,Sep,Mato Grosso,1.482,1/1/2015
2016,Sep,Mato Grosso,2.383,1/1/2016
2017,Sep,Mato Grosso,2.984,1/1/2017
1998,Oct,Mato Grosso,576,1/1/1998
1999,Oct,Mato Grosso,,1/1/1999
2000,Oct,Mato Grosso,657,1/1/2000
2001,Oct,Mato Grosso,563,1/1/2001
2002,Oct,Mato Grosso,2.173,1/1/2002
2003,Oct,Mato Grosso,541,1/1/2003
2004,Oct,Mato Grosso,960,1/1/2004
2005,Oct,Mato Grosso,647,1/1/2005
2006,Oct,Mato Grosso,244,1/1/2006
2007,Oct,Mato Grosso,668,1/1/2007
2008,Oct,Mato Grosso,432,1/1/2008
2009,Oct,Mato Grosso,854,1/1/2009
2010,Oct,Mato Grosso,597,1/1/2010
2011,Oct,Mato Grosso,276,1/1/2011
2012,Oct,Mato Grosso,652,1/1/2012
2013,Oct,Mato Grosso,378,1/1/2013
2014,Oct,Mato Grosso,581,1/1/2014
2015,Oct,Mato Grosso,507,1/1/2015
2016,Oct,Mato Grosso,1.2,1/1/2016
2017,Oct,Mato Grosso,685,1/1/2017
1998,Nov,Mato Grosso,306,1/1/1998
1999,Nov,Mato Grosso,1.194,1/1/1999
2000,Nov,Mato Grosso,274,1/1/2000
2001,Nov,Mato Grosso,220,1/1/2001
2002,Nov,Mato Grosso,1.47,1/1/2002
2003,Nov,Mato Grosso,380,1/1/2003
2004,Nov,Mato Grosso,208,1/1/2004
2005,Nov,Mato Grosso,159,1/1/2005
2006,Nov,Mato Grosso,83,1/1/2006
2007,Nov,Mato Grosso,82,1/1/2007
2008,Nov,Mato Grosso,50,1/1/2008
2009,Nov,Mato Grosso,439,1/1/2009
2010,Nov,Mato Grosso,259,1/1/2010
2011,Nov,Mato Grosso,445,1/1/2011
