year,month,state,no_of_fires,date
2004,Dec,alagoas,71,1/1/2004
2005,Dec,alagoas,16,1/1/2005
2006,Dec,alagoas,30,1/1/2006
2007,Dec,alagoas,33,1/1/2007
2008,Dec,alagoas,34,1/1/2008
2009,Dec,alagoas,55,1/1/2009
2010,Dec,alagoas,45,1/1/2010
2011,Dec,alagoas,50,1/1/2011
2012,Dec,alagoas,59,1/1/2012
2013,Dec,alagoas,42,1/1/2013
2014,Dec,alagoas,24,1/1/2014
2015,Dec,alagoas,136,1/1/2015
2016,Dec,alagoas,155,1/1/2016
1998,Jan,Amapa,0,1/1/1998
1999,Jan,Amapa,0,1/1/1999
2000,Jan,Amapa,2,1/1/2000
2001,Jan,Amapa,0,1/1/2001
2002,Jan,Amapa,7,1/1/2002
2003,Jan,Amapa,31,1/1/2003
2004,Jan,Amapa,38,1/1/2004
2005,Jan,Amapa,109,1/1/2005
2006,Jan,Amapa,6,1/1/2006
2007,Jan,Amapa,0,1/1/2007
2008,Jan,Amapa,2,1/1/2008
2009,Jan,Amapa,4,1/1/2009
2010,Jan,Amapa,2,1/1/2010
2011,Jan,Amapa,0,1/1/2011
2012,Jan,Amapa,30,1/1/2012
2013,Jan,Amapa,3,1/1/2013
2014,Jan,Amapa,10,1/1/2014
2015,Jan,Amapa,14,1/1/2015
2016,Jan,Amapa,19,1/1/2016
2017,Jan,Amapa,2,1/1/2017
1998,Feb,Amapa,0,1/1/1998
1999,Feb,Amapa,1,1/1/1999
2000,Feb,Amapa,0,1/1/2000
2001,Feb,Amapa,0,1/1/2001
2002,Feb,Amapa,2,1/1/2002
2003,Feb,Amapa,0,1/1/2003
2004,Feb,Amapa,2,1/1/2004
2005,Feb,Amapa,1,1/1/2005
2006,Feb,Amapa,2,1/1/2006
2007,Feb,Amapa,0,1/1/2007
2008,Feb,Amapa,0,1/1/2008
2009,Feb,Amapa,0,1/1/2009
2010,Feb,Amapa,0,1/1/2010
2011,Feb,Amapa,3,1/1/2011
2012,Feb,Amapa,5,1/1/2012
2013,Feb,Amapa,0,1/1/2013
2014,Feb,Amapa,2,1/1/2014
2015,Feb,Amapa,1,1/1/2015
2016,Feb,Amapa,1,1/1/2016
2017,Feb,Amapa,0,1/1/2017
1998,Mar,Amapa,0,1/1/1998
1999,Mar,Amapa,2,1/1/1999
2000,Mar,Amapa,0,1/1/2000
2001,Mar,Amapa,,1/1/2001
2002,Mar,Amapa,0,1/1/2002
2003,Mar,Amapa,1,1/1/2003
2004,Mar,Amapa,0,1/1/2004
2005,Mar,Amapa,0,1/1/2005
2006,Mar,Amapa,0,1/1/2006
2007,Mar,Amapa,0,1/1/2007
2008,Mar,Amapa,1,1/1/2008
2009,Mar,Amapa,1,1/1/2009
2010,Mar,Amapa,2,1/1/2010
2011,Mar,Amapa,0,1/1/2011
2012,Mar,Amapa,1,1/1/2012
2013,Mar,Amapa,0,1/1/2013
2014,Mar,Amapa,1,1/1/2014
2015,Mar,Amapa,2,1/1/2015
2016,Mar,Amapa,5,1/1/2016
2017,Mar,Amapa,0,1/1/2017
1998,Apr,Amapa,0,1/1/1998
1999,Apr,Amapa,0,1/1/1999
2000,Apr,Amapa,0,1/1/2000
2001,Apr,Amapa,0,1/1/2001
2002,Apr,Amapa,0,1/1/2002
2003,Apr,Amapa,2,1/1/2003
2004,Apr,Amapa,0,1/1/2004
2005,Apr,Amapa,0,1/1/2005
2006,Apr,Amapa,0,1/1/2006
2007,Apr,Amapa,0,1/1/2007
2008,Apr,Amapa,2,1/1/2008
2009,Apr,Amapa,,1/1/2009
2010,Apr,Amapa,2,1/1/2010
2011,Apr,Amapa,0,1/1/2011
2012,Apr,Amapa,2,1/1/2012
2013,Apr,Amapa,2,1/1/2013
2014,Apr,Amapa,0,1/1/2014
2015,Apr,Amapa,0,1/1/2015
2016,Apr,Amapa,0,1/1/2016
2017,Apr,Amapa,3,1/1/2017
1998,May,Amapa,0,1/1/1998
1999,May,Amapa,0,1/1/1999
2000,May,Amapa,0,1/1/2000
2001,May,Amapa,0,1/1/2001
2002,May,Amapa,3,1/1/2002
2003,May,Amapa,0,1/1/2003
2004,May,Amapa,0,1/1/2004
2005,May,Amapa,0,1/1/2005
2006,May,Amapa,0,1/1/2006
2007,May,Amapa,0,1/1/2007
2008,May,Amapa,0,1/1/2008
2009,May,Amapa,2,1/1/2009
2010,May,Amapa,2,1/1/2010
2011,May,Amapa,2,1/1/2011
2012,May,Amapa,2,1/1/2012
2013,May,Amapa,0,1/1/2013
2014,May,Amapa,0,1/1/2014
2015,May,Amapa,0,1/1/2015
2016,May,Amapa,1,1/1/2016
2017,May,Amapa,1,1/1/2017
1998,Jun,Amapa,0,1/1/1998
1999,Jun,Amapa,2,1/1/1999
2000,Jun,Amapa,0,1/1/2000
2001,Jun,Amapa,0,1/1/2001
2002,Jun,Amapa,0,1/1/2002
2003,Jun,Amapa,0,1/1/2003
2004,Jun,Amapa,5,1/1/2004
2005,Jun,Amapa,2,1/1/2005
2006,Jun,Amapa,0,1/1/2006
2007,Jun,Amapa,0,1/1/2007
2008,Jun,Amapa,0,1/1/2008
2009,Jun,Amapa,1,1/1/2009
2010,Jun,Amapa,0,1/1/2010
2011,Jun,Amapa,0,1/1/2011
2012,Jun,Amapa,7,1/1/2012
2013,Jun,Amapa,1,1/1/2013
2014,Jun,Amapa,0,1/1/2014
2015,Jun,Amapa,3,1/1/2015
2016,Jun,Amapa,2,1/1/2016
2017,Jun,Amapa,2,1/1/2017
1998,Jul,Amapa,0,1/1/1998
1999,Jul,Amapa,0,1/1/1999
2000,Jul,Amapa,0,1/1/2000
2001,Jul,Amapa,1,1/1/2001
2002,Jul,Amapa,1,1/1/2002
2003,Jul,Amapa,0,1/1/2003
2004,Jul,Amapa,2,1/1/2004
